center_id,truck_id,ETA,actual_arrival,carrier_delay_min
C002,TRK471,2021-01-15 06:00:00,2021-01-15 05:58:00,-2
C003,TRK345,2021-01-15 12:00:00,2021-01-15 12:48:00,48
C001,TRK999,2021-01-16 06:00:00,2021-01-16 06:31:00,31
C002,TRK187,2021-01-16 10:00:00,2021-01-16 09:50:00,-10
C003,TRK935,2021-01-16 11:00:00,2021-01-16 12:34:00,94
C001,TRK884,2021-01-17 06:00:00,2021-01-17 07:46:00,106
C002,TRK775,2021-01-17 07:00:00,2021-01-17 07:02:00,2
C003,TRK269,2021-01-17 09:00:00,2021-01-17 10:50:00,110
C001,TRK993,2021-01-18 08:00:00,2021-01-18 09:45:00,105
C002,TRK316,2021-01-18 10:00:00,2021-01-18 11:18:00,78
C003,TRK830,2021-01-18 10:00:00,2021-01-18 10:21:00,21
C001,TRK787,2021-01-19 08:00:00,2021-01-19 09:12:00,72
C002,TRK548,2021-01-19 11:00:00,2021-01-19 12:05:00,65
C003,TRK223,2021-01-19 10:00:00,2021-01-19 11:25:00,85
C001,TRK165,2021-01-20 07:00:00,2021-01-20 07:27:00,27
C002,TRK702,2021-01-20 08:00:00,2021-01-20 07:35:00,-25
C003,TRK702,2021-01-20 10:00:00,2021-01-20 10:28:00,28
C001,TRK172,2021-01-21 07:00:00,2021-01-21 06:31:00,-29
C002,TRK334,2021-01-21 11:00:00,2021-01-21 10:45:00,-15
C003,TRK980,2021-01-21 06:00:00,2021-01-21 05:38:00,-22
C001,TRK626,2021-01-22 08:00:00,2021-01-22 07:48:00,-12
C002,TRK785,2021-01-22 07:00:00,2021-01-22 07:41:00,41
C003,TRK652,2021-01-22 09:00:00,2021-01-22 09:24:00,24
C001,TRK690,2021-01-23 07:00:00,2021-01-23 08:56:00,116
C002,TRK903,2021-01-23 09:00:00,2021-01-23 09:32:00,32
C003,TRK294,2021-01-23 09:00:00,2021-01-23 10:14:00,74
C001,TRK774,2021-01-24 06:00:00,2021-01-24 05:54:00,-6
C002,TRK533,2021-01-24 09:00:00,2021-01-24 10:00:00,60
C003,TRK984,2021-01-24 09:00:00,2021-01-24 10:29:00,89
C001,TRK789,2021-01-25 11:00:00,2021-01-25 10:43:00,-17
C002,TRK162,2021-01-25 11:00:00,2021-01-25 10:55:00,-5
C003,TRK919,2021-01-25 09:00:00,2021-01-25 09:56:00,56
C001,TRK354,2021-01-26 12:00:00,2021-01-26 11:57:00,-3
C002,TRK649,2021-01-26 07:00:00,2021-01-26 07:18:00,18
C003,TRK532,2021-01-26 09:00:00,2021-01-26 09:05:00,5
C001,TRK573,2021-01-27 07:00:00,2021-01-27 07:41:00,41
C002,TRK553,2021-01-27 07:00:00,2021-01-27 06:49:00,-11
C003,TRK200,2021-01-27 12:00:00,2021-01-27 13:50:00,110
C001,TRK956,2021-01-28 06:00:00,2021-01-28 07:48:00,108
C002,TRK871,2021-01-28 06:00:00,2021-01-28 05:53:00,-7
C003,TRK270,2021-01-28 12:00:00,2021-01-28 12:30:00,30
C001,TRK592,2021-01-29 09:00:00,2021-01-29 10:34:00,94
C002,TRK160,2021-01-29 07:00:00,2021-01-29 08:12:00,72
C003,TRK102,2021-01-29 07:00:00,2021-01-29 08:07:00,67
C001,TRK902,2021-01-30 09:00:00,2021-01-30 09:37:00,37
C002,TRK392,2021-01-30 12:00:00,2021-01-30 13:26:00,86
C003,TRK777,2021-01-30 09:00:00,2021-01-30 10:52:00,112
C001,TRK258,2021-01-31 11:00:00,2021-01-31 12:34:00,94
C002,TRK322,2021-01-31 07:00:00,2021-01-31 07:45:00,45
C003,TRK853,2021-01-31 06:00:00,2021-01-31 07:58:00,118
C001,TRK865,2021-02-01 10:00:00,2021-02-01 09:45:00,-15
C002,TRK151,2021-02-01 08:00:00,2021-02-01 07:44:00,-16
C003,TRK614,2021-02-01 10:00:00,2021-02-01 11:32:00,92
C001,TRK261,2021-02-02 12:00:00,2021-02-02 13:45:00,105
C002,TRK182,2021-02-02 06:00:00,2021-02-02 07:40:00,100
C003,TRK170,2021-02-02 12:00:00,2021-02-02 12:17:00,17
C001,TRK791,2021-02-03 10:00:00,2021-02-03 09:47:00,-13
C002,TRK513,2021-02-03 12:00:00,2021-02-03 12:30:00,30
C003,TRK352,2021-02-03 06:00:00,2021-02-03 07:55:00,115
C001,TRK734,2021-02-04 10:00:00,2021-02-04 09:40:00,-20
C002,TRK773,2021-02-04 06:00:00,2021-02-04 07:17:00,77
C003,TRK635,2021-02-04 10:00:00,2021-02-04 11:54:00,114
C001,TRK309,2021-02-05 08:00:00,2021-02-05 08:36:00,36
C002,TRK344,2021-02-05 11:00:00,2021-02-05 11:50:00,50
C003,TRK234,2021-02-05 08:00:00,2021-02-05 09:11:00,71
C001,TRK568,2021-02-06 11:00:00,2021-02-06 11:46:00,46
C002,TRK109,2021-02-06 08:00:00,2021-02-06 07:48:00,-12
C003,TRK202,2021-02-06 09:00:00,2021-02-06 10:54:00,114
C001,TRK318,2021-02-07 06:00:00,2021-02-07 07:47:00,107
C002,TRK235,2021-02-07 10:00:00,2021-02-07 10:37:00,37
C003,TRK350,2021-02-07 08:00:00,2021-02-07 07:47:00,-13
C001,TRK261,2021-02-08 08:00:00,2021-02-08 08:42:00,42
C002,TRK820,2021-02-08 09:00:00,2021-02-08 10:49:00,109
C003,TRK108,2021-02-08 08:00:00,2021-02-08 09:45:00,105
C001,TRK406,2021-02-09 11:00:00,2021-02-09 12:51:00,111
C002,TRK999,2021-02-09 11:00:00,2021-02-09 10:56:00,-4
C003,TRK218,2021-02-09 07:00:00,2021-02-09 07:37:00,37
C001,TRK259,2021-02-10 06:00:00,2021-02-10 07:51:00,111
C002,TRK719,2021-02-10 08:00:00,2021-02-10 08:42:00,42
C003,TRK308,2021-02-10 07:00:00,2021-02-10 07:57:00,57
C001,TRK617,2021-02-11 11:00:00,2021-02-11 11:37:00,37
C002,TRK966,2021-02-11 09:00:00,2021-02-11 09:34:00,34
C003,TRK749,2021-02-11 06:00:00,2021-02-11 05:53:00,-7
C001,TRK145,2021-02-12 09:00:00,2021-02-12 09:40:00,40
C002,TRK889,2021-02-12 06:00:00,2021-02-12 06:55:00,55
C003,TRK265,2021-02-12 07:00:00,2021-02-12 07:37:00,37
C001,TRK664,2021-02-13 11:00:00,2021-02-13 12:23:00,83
C002,TRK674,2021-02-13 11:00:00,2021-02-13 12:19:00,79
C003,TRK177,2021-02-13 06:00:00,2021-02-13 05:58:00,-2
C001,TRK658,2021-02-14 11:00:00,2021-02-14 11:08:00,8
C002,TRK696,2021-02-14 06:00:00,2021-02-14 07:04:00,64
C003,TRK540,2021-02-14 10:00:00,2021-02-14 10:07:00,7
C001,TRK415,2021-02-15 07:00:00,2021-02-15 06:40:00,-20
C002,TRK466,2021-02-15 08:00:00,2021-02-15 07:40:00,-20
C003,TRK782,2021-02-15 07:00:00,2021-02-15 07:33:00,33
C001,TRK898,2021-02-16 06:00:00,2021-02-16 07:00:00,60
C002,TRK735,2021-02-16 10:00:00,2021-02-16 11:14:00,74
C003,TRK342,2021-02-16 11:00:00,2021-02-16 11:09:00,9
C001,TRK919,2021-02-17 12:00:00,2021-02-17 12:11:00,11
C002,TRK522,2021-02-17 12:00:00,2021-02-17 12:15:00,15
C003,TRK854,2021-02-17 06:00:00,2021-02-17 06:15:00,15
C001,TRK921,2021-02-18 08:00:00,2021-02-18 09:15:00,75
C002,TRK373,2021-02-18 11:00:00,2021-02-18 11:33:00,33
C003,TRK491,2021-02-18 07:00:00,2021-02-18 06:57:00,-3
C001,TRK979,2021-02-19 12:00:00,2021-02-19 11:39:00,-21
C002,TRK304,2021-02-19 09:00:00,2021-02-19 09:26:00,26
C003,TRK458,2021-02-19 12:00:00,2021-02-19 13:27:00,87
C001,TRK328,2021-02-20 08:00:00,2021-02-20 08:28:00,28
C002,TRK508,2021-02-20 06:00:00,2021-02-20 06:19:00,19
C003,TRK985,2021-02-20 08:00:00,2021-02-20 08:41:00,41
C001,TRK459,2021-02-21 06:00:00,2021-02-21 06:41:00,41
C002,TRK509,2021-02-21 11:00:00,2021-02-21 12:40:00,100
C003,TRK439,2021-02-21 11:00:00,2021-02-21 12:47:00,107
C001,TRK998,2021-02-22 06:00:00,2021-02-22 05:59:00,-1
C002,TRK694,2021-02-22 08:00:00,2021-02-22 08:15:00,15
C003,TRK211,2021-02-22 08:00:00,2021-02-22 07:39:00,-21
C001,TRK453,2021-02-23 10:00:00,2021-02-23 11:21:00,81
C002,TRK546,2021-02-23 11:00:00,2021-02-23 11:50:00,50
C003,TRK218,2021-02-23 10:00:00,2021-02-23 11:40:00,100
C001,TRK294,2021-02-24 09:00:00,2021-02-24 10:57:00,117
C002,TRK825,2021-02-24 08:00:00,2021-02-24 07:41:00,-19
C003,TRK632,2021-02-24 09:00:00,2021-02-24 08:30:00,-30
C001,TRK803,2021-02-25 12:00:00,2021-02-25 13:47:00,107
C002,TRK472,2021-02-25 11:00:00,2021-02-25 11:20:00,20
C003,TRK780,2021-02-25 09:00:00,2021-02-25 08:47:00,-13
C001,TRK779,2021-02-26 08:00:00,2021-02-26 08:50:00,50
C002,TRK837,2021-02-26 12:00:00,2021-02-26 12:01:00,1
C003,TRK416,2021-02-26 08:00:00,2021-02-26 09:39:00,99
C001,TRK434,2021-02-27 11:00:00,2021-02-27 12:14:00,74
C002,TRK667,2021-02-27 09:00:00,2021-02-27 09:45:00,45
C003,TRK530,2021-02-27 07:00:00,2021-02-27 07:19:00,19
C001,TRK793,2021-02-28 11:00:00,2021-02-28 12:07:00,67
C002,TRK730,2021-02-28 11:00:00,2021-02-28 11:14:00,14
C003,TRK515,2021-02-28 10:00:00,2021-02-28 10:47:00,47
C001,TRK411,2021-03-01 10:00:00,2021-03-01 09:30:00,-30
C002,TRK540,2021-03-01 08:00:00,2021-03-01 08:23:00,23
C003,TRK721,2021-03-01 12:00:00,2021-03-01 13:58:00,118
C001,TRK576,2021-03-02 11:00:00,2021-03-02 11:52:00,52
C002,TRK791,2021-03-02 09:00:00,2021-03-02 10:23:00,83
C003,TRK584,2021-03-02 07:00:00,2021-03-02 08:40:00,100
C001,TRK774,2021-03-03 12:00:00,2021-03-03 12:13:00,13
C002,TRK627,2021-03-03 06:00:00,2021-03-03 06:42:00,42
C003,TRK195,2021-03-03 11:00:00,2021-03-03 11:55:00,55
C001,TRK788,2021-03-04 12:00:00,2021-03-04 12:30:00,30
C002,TRK925,2021-03-04 08:00:00,2021-03-04 08:27:00,27
C003,TRK125,2021-03-04 07:00:00,2021-03-04 07:07:00,7
C001,TRK586,2021-03-05 06:00:00,2021-03-05 06:32:00,32
C002,TRK566,2021-03-05 10:00:00,2021-03-05 09:48:00,-12
C003,TRK299,2021-03-05 09:00:00,2021-03-05 10:57:00,117
C001,TRK606,2021-03-06 11:00:00,2021-03-06 12:08:00,68
C002,TRK251,2021-03-06 09:00:00,2021-03-06 09:32:00,32
C003,TRK868,2021-03-06 11:00:00,2021-03-06 10:31:00,-29
C001,TRK897,2021-03-07 12:00:00,2021-03-07 11:57:00,-3
C002,TRK280,2021-03-07 09:00:00,2021-03-07 09:26:00,26
C003,TRK575,2021-03-07 12:00:00,2021-03-07 13:42:00,102
C001,TRK355,2021-03-08 06:00:00,2021-03-08 07:52:00,112
C002,TRK567,2021-03-08 12:00:00,2021-03-08 12:01:00,1
C003,TRK783,2021-03-08 07:00:00,2021-03-08 08:28:00,88
C001,TRK709,2021-03-09 10:00:00,2021-03-09 11:53:00,113
C002,TRK727,2021-03-09 08:00:00,2021-03-09 09:23:00,83
C003,TRK536,2021-03-09 12:00:00,2021-03-09 13:39:00,99
C001,TRK556,2021-03-10 12:00:00,2021-03-10 13:50:00,110
C002,TRK560,2021-03-10 07:00:00,2021-03-10 08:31:00,91
C003,TRK960,2021-03-10 08:00:00,2021-03-10 08:33:00,33
C001,TRK884,2021-03-11 11:00:00,2021-03-11 11:40:00,40
C002,TRK596,2021-03-11 12:00:00,2021-03-11 13:43:00,103
C003,TRK381,2021-03-11 11:00:00,2021-03-11 11:31:00,31
C001,TRK830,2021-03-12 09:00:00,2021-03-12 08:49:00,-11
C002,TRK378,2021-03-12 08:00:00,2021-03-12 08:30:00,30
C003,TRK653,2021-03-12 08:00:00,2021-03-12 08:51:00,51
C001,TRK254,2021-03-13 06:00:00,2021-03-13 06:05:00,5
C002,TRK810,2021-03-13 07:00:00,2021-03-13 08:08:00,68
C003,TRK165,2021-03-13 07:00:00,2021-03-13 07:24:00,24
C001,TRK438,2021-03-14 09:00:00,2021-03-14 10:14:00,74
C002,TRK525,2021-03-14 10:00:00,2021-03-14 11:29:00,89
C003,TRK952,2021-03-14 06:00:00,2021-03-14 06:22:00,22
C001,TRK888,2021-03-15 09:00:00,2021-03-15 10:09:00,69
C002,TRK977,2021-03-15 10:00:00,2021-03-15 09:35:00,-25
C003,TRK489,2021-03-15 12:00:00,2021-03-15 13:57:00,117
C001,TRK460,2021-03-16 09:00:00,2021-03-16 08:31:00,-29
C002,TRK973,2021-03-16 08:00:00,2021-03-16 09:09:00,69
C003,TRK651,2021-03-16 12:00:00,2021-03-16 13:17:00,77
C001,TRK919,2021-03-17 11:00:00,2021-03-17 12:49:00,109
C002,TRK599,2021-03-17 10:00:00,2021-03-17 10:26:00,26
C003,TRK546,2021-03-17 07:00:00,2021-03-17 07:39:00,39
C001,TRK498,2021-03-18 09:00:00,2021-03-18 08:37:00,-23
C002,TRK841,2021-03-18 08:00:00,2021-03-18 09:13:00,73
C003,TRK230,2021-03-18 07:00:00,2021-03-18 08:29:00,89
C001,TRK127,2021-03-19 10:00:00,2021-03-19 11:46:00,106
C002,TRK778,2021-03-19 09:00:00,2021-03-19 10:54:00,114
C003,TRK758,2021-03-19 06:00:00,2021-03-19 05:51:00,-9
C001,TRK987,2021-03-20 09:00:00,2021-03-20 09:04:00,4
C002,TRK151,2021-03-20 09:00:00,2021-03-20 09:16:00,16
C003,TRK435,2021-03-20 08:00:00,2021-03-20 09:07:00,67
C001,TRK434,2021-03-21 07:00:00,2021-03-21 08:26:00,86
C002,TRK384,2021-03-21 08:00:00,2021-03-21 09:07:00,67
C003,TRK358,2021-03-21 12:00:00,2021-03-21 13:17:00,77
C001,TRK581,2021-03-22 12:00:00,2021-03-22 11:50:00,-10
C002,TRK153,2021-03-22 06:00:00,2021-03-22 07:48:00,108
C003,TRK765,2021-03-22 08:00:00,2021-03-22 08:27:00,27
C001,TRK872,2021-03-23 06:00:00,2021-03-23 05:40:00,-20
C002,TRK304,2021-03-23 06:00:00,2021-03-23 06:33:00,33
C003,TRK736,2021-03-23 12:00:00,2021-03-23 11:35:00,-25
C001,TRK229,2021-03-24 07:00:00,2021-03-24 07:31:00,31
C002,TRK677,2021-03-24 09:00:00,2021-03-24 08:59:00,-1
C003,TRK816,2021-03-24 07:00:00,2021-03-24 08:29:00,89
C001,TRK271,2021-03-25 08:00:00,2021-03-25 09:04:00,64
C002,TRK896,2021-03-25 10:00:00,2021-03-25 09:59:00,-1
C003,TRK418,2021-03-25 12:00:00,2021-03-25 12:11:00,11
C001,TRK126,2021-03-26 06:00:00,2021-03-26 07:58:00,118
C002,TRK793,2021-03-26 08:00:00,2021-03-26 09:57:00,117
C003,TRK832,2021-03-26 09:00:00,2021-03-26 10:11:00,71
C001,TRK706,2021-03-27 07:00:00,2021-03-27 06:49:00,-11
C002,TRK204,2021-03-27 11:00:00,2021-03-27 11:32:00,32
C003,TRK970,2021-03-27 11:00:00,2021-03-27 11:47:00,47
C001,TRK915,2021-03-28 11:00:00,2021-03-28 11:00:00,0
C002,TRK455,2021-03-28 10:00:00,2021-03-28 09:40:00,-20
C003,TRK777,2021-03-28 10:00:00,2021-03-28 11:19:00,79
C001,TRK618,2021-03-29 08:00:00,2021-03-29 07:47:00,-13
C002,TRK112,2021-03-29 11:00:00,2021-03-29 11:57:00,57
C003,TRK942,2021-03-29 12:00:00,2021-03-29 13:17:00,77
C001,TRK543,2021-03-30 09:00:00,2021-03-30 08:57:00,-3
C002,TRK824,2021-03-30 08:00:00,2021-03-30 09:27:00,87
C003,TRK280,2021-03-30 07:00:00,2021-03-30 08:21:00,81
C001,TRK766,2021-03-31 11:00:00,2021-03-31 12:43:00,103
C002,TRK893,2021-03-31 08:00:00,2021-03-31 09:47:00,107
C003,TRK546,2021-03-31 09:00:00,2021-03-31 10:29:00,89
C001,TRK430,2021-04-01 12:00:00,2021-04-01 12:38:00,38
C002,TRK950,2021-04-01 12:00:00,2021-04-01 12:32:00,32
C003,TRK561,2021-04-01 06:00:00,2021-04-01 06:41:00,41
C001,TRK683,2021-04-02 07:00:00,2021-04-02 08:28:00,88
C002,TRK444,2021-04-02 10:00:00,2021-04-02 11:07:00,67
C003,TRK971,2021-04-02 06:00:00,2021-04-02 07:36:00,96
C001,TRK599,2021-04-03 08:00:00,2021-04-03 08:16:00,16
C002,TRK916,2021-04-03 07:00:00,2021-04-03 08:00:00,60
C003,TRK386,2021-04-03 08:00:00,2021-04-03 08:57:00,57
C001,TRK669,2021-04-04 10:00:00,2021-04-04 10:40:00,40
C002,TRK295,2021-04-04 06:00:00,2021-04-04 07:42:00,102
C003,TRK837,2021-04-04 06:00:00,2021-04-04 06:31:00,31
C001,TRK668,2021-04-05 09:00:00,2021-04-05 10:35:00,95
C002,TRK807,2021-04-05 12:00:00,2021-04-05 12:31:00,31
C003,TRK558,2021-04-05 09:00:00,2021-04-05 10:35:00,95
C001,TRK195,2021-04-06 12:00:00,2021-04-06 11:34:00,-26
C002,TRK514,2021-04-06 08:00:00,2021-04-06 08:26:00,26
C003,TRK413,2021-04-06 11:00:00,2021-04-06 11:32:00,32
C001,TRK477,2021-04-07 11:00:00,2021-04-07 12:58:00,118
C002,TRK643,2021-04-07 09:00:00,2021-04-07 10:51:00,111
C003,TRK863,2021-04-07 08:00:00,2021-04-07 09:18:00,78
C001,TRK460,2021-04-08 10:00:00,2021-04-08 10:54:00,54
C002,TRK377,2021-04-08 11:00:00,2021-04-08 12:26:00,86
C003,TRK336,2021-04-08 08:00:00,2021-04-08 08:34:00,34
C001,TRK423,2021-04-09 06:00:00,2021-04-09 06:19:00,19
C002,TRK880,2021-04-09 06:00:00,2021-04-09 07:47:00,107
C003,TRK296,2021-04-09 11:00:00,2021-04-09 11:17:00,17
C001,TRK383,2021-04-10 07:00:00,2021-04-10 08:33:00,93
C002,TRK878,2021-04-10 11:00:00,2021-04-10 13:00:00,120
C003,TRK202,2021-04-10 10:00:00,2021-04-10 10:42:00,42
C001,TRK403,2021-04-11 12:00:00,2021-04-11 12:19:00,19
C002,TRK283,2021-04-11 07:00:00,2021-04-11 08:02:00,62
C003,TRK825,2021-04-11 08:00:00,2021-04-11 07:33:00,-27
C001,TRK380,2021-04-12 10:00:00,2021-04-12 10:02:00,2
C002,TRK666,2021-04-12 06:00:00,2021-04-12 05:43:00,-17
C003,TRK753,2021-04-12 08:00:00,2021-04-12 08:02:00,2
C001,TRK205,2021-04-13 12:00:00,2021-04-13 13:35:00,95
C002,TRK687,2021-04-13 12:00:00,2021-04-13 11:33:00,-27
C003,TRK590,2021-04-13 08:00:00,2021-04-13 09:30:00,90
C001,TRK288,2021-04-14 09:00:00,2021-04-14 09:57:00,57
C002,TRK982,2021-04-14 06:00:00,2021-04-14 06:34:00,34
C003,TRK941,2021-04-14 09:00:00,2021-04-14 08:59:00,-1
C001,TRK603,2021-04-15 06:00:00,2021-04-15 07:12:00,72
C002,TRK744,2021-04-15 06:00:00,2021-04-15 07:57:00,117
C003,TRK255,2021-04-15 11:00:00,2021-04-15 10:43:00,-17
C001,TRK411,2021-04-16 07:00:00,2021-04-16 08:54:00,114
C002,TRK221,2021-04-16 06:00:00,2021-04-16 06:33:00,33
C003,TRK720,2021-04-16 10:00:00,2021-04-16 11:16:00,76
C001,TRK894,2021-04-17 10:00:00,2021-04-17 10:27:00,27
C002,TRK561,2021-04-17 10:00:00,2021-04-17 11:07:00,67
C003,TRK980,2021-04-17 09:00:00,2021-04-17 09:46:00,46
C001,TRK412,2021-04-18 10:00:00,2021-04-18 11:19:00,79
C002,TRK724,2021-04-18 10:00:00,2021-04-18 09:45:00,-15
C003,TRK881,2021-04-18 11:00:00,2021-04-18 10:55:00,-5
C001,TRK370,2021-04-19 07:00:00,2021-04-19 07:24:00,24
C002,TRK260,2021-04-19 11:00:00,2021-04-19 10:50:00,-10
C003,TRK665,2021-04-19 07:00:00,2021-04-19 07:14:00,14
C001,TRK102,2021-04-20 06:00:00,2021-04-20 06:10:00,10
C002,TRK805,2021-04-20 09:00:00,2021-04-20 10:25:00,85
C003,TRK398,2021-04-20 10:00:00,2021-04-20 11:30:00,90
C001,TRK395,2021-04-21 06:00:00,2021-04-21 06:29:00,29
C002,TRK819,2021-04-21 11:00:00,2021-04-21 11:42:00,42
C003,TRK172,2021-04-21 12:00:00,2021-04-21 13:26:00,86
C001,TRK370,2021-04-22 11:00:00,2021-04-22 11:29:00,29
C002,TRK777,2021-04-22 12:00:00,2021-04-22 14:00:00,120
C003,TRK535,2021-04-22 12:00:00,2021-04-22 12:20:00,20
C001,TRK330,2021-04-23 06:00:00,2021-04-23 07:49:00,109
C002,TRK372,2021-04-23 11:00:00,2021-04-23 11:08:00,8
C003,TRK173,2021-04-23 12:00:00,2021-04-23 12:06:00,6
C001,TRK911,2021-04-24 06:00:00,2021-04-24 06:12:00,12
C002,TRK395,2021-04-24 08:00:00,2021-04-24 09:55:00,115
C003,TRK579,2021-04-24 09:00:00,2021-04-24 09:01:00,1
C001,TRK816,2021-04-25 11:00:00,2021-04-25 11:47:00,47
C002,TRK612,2021-04-25 09:00:00,2021-04-25 09:39:00,39
C003,TRK548,2021-04-25 10:00:00,2021-04-25 11:36:00,96
C001,TRK542,2021-04-26 06:00:00,2021-04-26 05:40:00,-20
C002,TRK718,2021-04-26 11:00:00,2021-04-26 11:52:00,52
C003,TRK193,2021-04-26 08:00:00,2021-04-26 07:36:00,-24
C001,TRK701,2021-04-27 07:00:00,2021-04-27 08:57:00,117
C002,TRK690,2021-04-27 06:00:00,2021-04-27 06:38:00,38
C003,TRK581,2021-04-27 06:00:00,2021-04-27 06:14:00,14
C001,TRK384,2021-04-28 10:00:00,2021-04-28 11:23:00,83
C002,TRK546,2021-04-28 07:00:00,2021-04-28 08:59:00,119
C003,TRK193,2021-04-28 11:00:00,2021-04-28 12:35:00,95
C001,TRK518,2021-04-29 09:00:00,2021-04-29 09:59:00,59
C002,TRK786,2021-04-29 08:00:00,2021-04-29 08:52:00,52
C003,TRK437,2021-04-29 06:00:00,2021-04-29 06:11:00,11
C001,TRK395,2021-04-30 09:00:00,2021-04-30 10:36:00,96
C002,TRK933,2021-04-30 11:00:00,2021-04-30 12:12:00,72
C003,TRK137,2021-04-30 12:00:00,2021-04-30 13:50:00,110
C001,TRK422,2021-05-01 09:00:00,2021-05-01 08:52:00,-8
C002,TRK218,2021-05-01 08:00:00,2021-05-01 08:52:00,52
C003,TRK985,2021-05-01 12:00:00,2021-05-01 13:13:00,73
C001,TRK773,2021-05-02 10:00:00,2021-05-02 09:30:00,-30
C002,TRK573,2021-05-02 12:00:00,2021-05-02 13:48:00,108
C003,TRK292,2021-05-02 09:00:00,2021-05-02 08:43:00,-17
C001,TRK737,2021-05-03 10:00:00,2021-05-03 11:02:00,62
C002,TRK740,2021-05-03 12:00:00,2021-05-03 13:37:00,97
C003,TRK308,2021-05-03 09:00:00,2021-05-03 08:43:00,-17
C001,TRK234,2021-05-04 08:00:00,2021-05-04 09:50:00,110
C002,TRK815,2021-05-04 08:00:00,2021-05-04 09:22:00,82
C003,TRK129,2021-05-04 09:00:00,2021-05-04 09:01:00,1
C001,TRK826,2021-05-05 11:00:00,2021-05-05 11:31:00,31
C002,TRK664,2021-05-05 07:00:00,2021-05-05 07:49:00,49
C003,TRK517,2021-05-05 06:00:00,2021-05-05 07:51:00,111
C001,TRK961,2021-05-06 06:00:00,2021-05-06 06:27:00,27
C002,TRK220,2021-05-06 06:00:00,2021-05-06 07:28:00,88
C003,TRK610,2021-05-06 11:00:00,2021-05-06 11:09:00,9
C001,TRK621,2021-05-07 11:00:00,2021-05-07 11:44:00,44
C002,TRK525,2021-05-07 11:00:00,2021-05-07 11:39:00,39
C003,TRK583,2021-05-07 12:00:00,2021-05-07 13:33:00,93
C001,TRK664,2021-05-08 07:00:00,2021-05-08 08:26:00,86
C002,TRK295,2021-05-08 07:00:00,2021-05-08 08:08:00,68
C003,TRK864,2021-05-08 10:00:00,2021-05-08 11:40:00,100
C001,TRK382,2021-05-09 07:00:00,2021-05-09 06:47:00,-13
